"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.796554557313,0.10285614917584,117,7.74435523491388,3.81115232157514e-12
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726875e-07
"relevel(Treatment, ref = ""Cross"")Brassica rapa",-0.796554557313,0.144879886444908,117,-5.49803410852271,2.2852419572688e-07
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726876e-07
"relevel(Treatment, ref = ""Cross"")Control",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726877e-07
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-0.796554557312998,0.144879886444907,117,-5.49803410852271,2.28524195726881e-07
"relevel(Treatment, ref = ""Cross"")Flower control",-0.427666611901606,0.144879886444908,117,-2.95187014840899,0.00381737548661216
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",-0.796554557312997,0.144879886444907,117,-5.49803410852271,2.28524195726885e-07
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726876e-07
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",-0.588610403145017,0.144879886444908,117,-4.0627475461809,8.81193355098663e-05
"relevel(Treatment, ref = ""Cross"")Self",-0.160943791243411,0.144879886444908,117,-1.11087739777192,0.268898834231715
"relevel(Treatment, ref = ""Cross"")Sinapis alba",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726877e-07
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",-0.686693328446189,0.144879886444908,117,-4.73974231548913,6.07750630267495e-06
"relevel(Treatment, ref = ""Cross"")Solanum melongena",-0.796554557313,0.144879886444908,117,-5.49803410852272,2.28524195726876e-07
