"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","ERSA","BROL 100%",1,0,"Brassicaceae"
"2","ERSA","BROL 100%",2,0,"Brassicaceae"
"3","ERSA","BROL 100%",3,0,"Brassicaceae"
"4","ERSA","BROL 100%",4,0,"Brassicaceae"
"5","ERSA","BROL 100%",5,0,"Brassicaceae"
"6","ERSA","BROL 100%",6,0,"Brassicaceae"
"7","ERSA","BROL 100%",7,0,"Brassicaceae"
"8","ERSA","BROL 100%",8,0,"Brassicaceae"
"9","ERSA","BROL 100%",9,0,"Brassicaceae"
"10","ERSA","BROL 100%",10,0,"Brassicaceae"
"11","ERSA","BRRA 100%",1,0,"Brassicaceae"
"12","ERSA","BRRA 100%",2,0,"Brassicaceae"
"13","ERSA","BRRA 100%",3,0,"Brassicaceae"
"14","ERSA","BRRA 100%",4,0,"Brassicaceae"
"15","ERSA","BRRA 100%",5,0,"Brassicaceae"
"16","ERSA","BRRA 100%",6,0,"Brassicaceae"
"17","ERSA","BRRA 100%",7,0,"Brassicaceae"
"18","ERSA","BRRA 100%",8,0,"Brassicaceae"
"19","ERSA","BRRA 100%",9,0,"Brassicaceae"
"20","ERSA","BRRA 100%",10,0,"Brassicaceae"
"21","ERSA","ERSA 100%",1,0,"Brassicaceae"
"22","ERSA","ERSA 100%",2,0,"Brassicaceae"
"23","ERSA","ERSA 100%",3,0,"Brassicaceae"
"24","ERSA","ERSA 100%",4,0,"Brassicaceae"
"25","ERSA","ERSA 100%",5,0,"Brassicaceae"
"26","ERSA","ERSA 100%",6,0,"Brassicaceae"
"27","ERSA","ERSA 100%",7,0,"Brassicaceae"
"28","ERSA","ERSA 100%",8,0,"Brassicaceae"
"29","ERSA","ERSA 100%",9,0,"Brassicaceae"
"30","ERSA","ERSA 100%",10,0,"Brassicaceae"
"31","ERSA","SIAL 100%",1,0,"Brassicaceae"
"32","ERSA","SIAL 100%",2,0,"Brassicaceae"
"33","ERSA","SIAL 100%",3,0,"Brassicaceae"
"34","ERSA","SIAL 100%",4,0,"Brassicaceae"
"35","ERSA","SIAL 100%",5,0,"Brassicaceae"
"36","ERSA","SIAL 100%",6,0,"Brassicaceae"
"37","ERSA","SIAL 100%",7,0,"Brassicaceae"
"38","ERSA","SIAL 100%",8,0,"Brassicaceae"
"39","ERSA","SIAL 100%",9,0,"Brassicaceae"
"40","ERSA","SIAL 100%",10,0,"Brassicaceae"
"41","ERSA","IPAQ 100%",1,0,"Convolvulaceae"
"42","ERSA","IPAQ 100%",2,0,"Convolvulaceae"
"43","ERSA","IPAQ 100%",3,0,"Convolvulaceae"
"44","ERSA","IPAQ 100%",4,0,"Convolvulaceae"
"45","ERSA","IPAQ 100%",5,0,"Convolvulaceae"
"46","ERSA","IPAQ 100%",6,0,"Convolvulaceae"
"47","ERSA","IPAQ 100%",7,0,"Convolvulaceae"
"48","ERSA","IPAQ 100%",8,0,"Convolvulaceae"
"49","ERSA","IPAQ 100%",9,0,"Convolvulaceae"
"50","ERSA","IPAQ 100%",10,0,"Convolvulaceae"
"51","ERSA","IPPU 100%",1,0,"Convolvulaceae"
"52","ERSA","IPPU 100%",2,0,"Convolvulaceae"
"53","ERSA","IPPU 100%",3,0,"Convolvulaceae"
"54","ERSA","IPPU 100%",4,0,"Convolvulaceae"
"55","ERSA","IPPU 100%",5,0,"Convolvulaceae"
"56","ERSA","IPPU 100%",6,0,"Convolvulaceae"
"57","ERSA","IPPU 100%",7,0,"Convolvulaceae"
"58","ERSA","IPPU 100%",8,0,"Convolvulaceae"
"59","ERSA","IPPU 100%",9,0,"Convolvulaceae"
"60","ERSA","IPPU 100%",10,0,"Convolvulaceae"
"61","ERSA","CAAN 100%",1,0,"Solanaceae"
"62","ERSA","CAAN 100%",2,0,"Solanaceae"
"63","ERSA","CAAN 100%",3,0,"Solanaceae"
"64","ERSA","CAAN 100%",4,0,"Solanaceae"
"65","ERSA","CAAN 100%",5,0,"Solanaceae"
"66","ERSA","CAAN 100%",6,0,"Solanaceae"
"67","ERSA","CAAN 100%",7,0,"Solanaceae"
"68","ERSA","CAAN 100%",8,0,"Solanaceae"
"69","ERSA","CAAN 100%",9,0,"Solanaceae"
"70","ERSA","CAAN 100%",10,0,"Solanaceae"
"71","ERSA","PEIN 100%",1,0,"Solanaceae"
"72","ERSA","PEIN 100%",2,0,"Solanaceae"
"73","ERSA","PEIN 100%",3,0,"Solanaceae"
"74","ERSA","PEIN 100%",4,0,"Solanaceae"
"75","ERSA","PEIN 100%",5,0,"Solanaceae"
"76","ERSA","PEIN 100%",6,0,"Solanaceae"
"77","ERSA","PEIN 100%",7,0,"Solanaceae"
"78","ERSA","PEIN 100%",8,2,"Solanaceae"
"79","ERSA","PEIN 100%",9,0,"Solanaceae"
"80","ERSA","PEIN 100%",10,0,"Solanaceae"
"81","ERSA","SOLY 100%",1,0,"Solanaceae"
"82","ERSA","SOLY 100%",2,0,"Solanaceae"
"83","ERSA","SOLY 100%",3,0,"Solanaceae"
"84","ERSA","SOLY 100%",4,0,"Solanaceae"
"85","ERSA","SOLY 100%",5,0,"Solanaceae"
"86","ERSA","SOLY 100%",6,0,"Solanaceae"
"87","ERSA","SOLY 100%",7,0,"Solanaceae"
"88","ERSA","SOLY 100%",8,0,"Solanaceae"
"89","ERSA","SOLY 100%",9,0,"Solanaceae"
"90","ERSA","SOLY 100%",10,0,"Solanaceae"
"91","ERSA","SOME 100%",1,0,"Solanaceae"
"92","ERSA","SOME 100%",2,0,"Solanaceae"
"93","ERSA","SOME 100%",3,0,"Solanaceae"
"94","ERSA","SOME 100%",4,0,"Solanaceae"
