"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","BROL","Brassica oleracea",1,0,"Brassicaceae"
"2","BROL","Brassica oleracea",2,0,"Brassicaceae"
"3","BROL","Brassica oleracea",3,0,"Brassicaceae"
"4","BROL","Brassica oleracea",4,0,"Brassicaceae"
"5","BROL","Brassica oleracea",5,0,"Brassicaceae"
"6","BROL","Brassica oleracea",6,0,"Brassicaceae"
"7","BROL","Brassica oleracea",7,0,"Brassicaceae"
"8","BROL","Brassica oleracea",8,0,"Brassicaceae"
"9","BROL","Brassica oleracea",9,0,"Brassicaceae"
"10","BROL","Brassica oleracea",10,0,"Brassicaceae"
"11","BROL","Brassica rapa",1,0,"Brassicaceae"
"12","BROL","Brassica rapa",2,0,"Brassicaceae"
"13","BROL","Brassica rapa",3,0,"Brassicaceae"
"14","BROL","Brassica rapa",4,0,"Brassicaceae"
"15","BROL","Brassica rapa",5,0,"Brassicaceae"
"16","BROL","Brassica rapa",6,0,"Brassicaceae"
"17","BROL","Brassica rapa",7,0,"Brassicaceae"
"18","BROL","Brassica rapa",8,0,"Brassicaceae"
"19","BROL","Brassica rapa",9,0,"Brassicaceae"
"20","BROL","Brassica rapa",10,0,"Brassicaceae"
"21","BROL","Eruca vesicaria",1,0,"Brassicaceae"
"22","BROL","Eruca vesicaria",2,0,"Brassicaceae"
"23","BROL","Eruca vesicaria",3,0,"Brassicaceae"
"24","BROL","Eruca vesicaria",4,0,"Brassicaceae"
"25","BROL","Eruca vesicaria",5,0,"Brassicaceae"
"26","BROL","Eruca vesicaria",6,0,"Brassicaceae"
"27","BROL","Eruca vesicaria",7,0,"Brassicaceae"
"28","BROL","Eruca vesicaria",8,0,"Brassicaceae"
"29","BROL","Eruca vesicaria",9,0,"Brassicaceae"
"30","BROL","Eruca vesicaria",10,0,"Brassicaceae"
"31","BROL","Sinapis alba",1,0,"Brassicaceae"
"32","BROL","Sinapis alba",2,0,"Brassicaceae"
"33","BROL","Sinapis alba",3,0,"Brassicaceae"
"34","BROL","Sinapis alba",4,0,"Brassicaceae"
"35","BROL","Sinapis alba",5,0,"Brassicaceae"
"36","BROL","Sinapis alba",6,0,"Brassicaceae"
"37","BROL","Sinapis alba",7,0,"Brassicaceae"
"38","BROL","Sinapis alba",8,0,"Brassicaceae"
"39","BROL","Sinapis alba",9,0,"Brassicaceae"
"40","BROL","Sinapis alba",10,0,"Brassicaceae"
"41","BROL","Ipomoea purpurea",1,0,"Convolvulaceae"
"42","BROL","Ipomoea purpurea",2,0,"Convolvulaceae"
"43","BROL","Ipomoea purpurea",3,0,"Convolvulaceae"
"44","BROL","Ipomoea purpurea",4,0,"Convolvulaceae"
"45","BROL","Ipomoea purpurea",5,0,"Convolvulaceae"
"46","BROL","Ipomoea purpurea",6,0,"Convolvulaceae"
"47","BROL","Ipomoea purpurea",7,0,"Convolvulaceae"
"48","BROL","Ipomoea purpurea",8,0,"Convolvulaceae"
"49","BROL","Ipomoea purpurea",9,0,"Convolvulaceae"
"50","BROL","Ipomoea purpurea",10,0,"Convolvulaceae"
"51","BROL","Capsicum annuum",1,0,"Solanaceae"
"52","BROL","Capsicum annuum",2,0,"Solanaceae"
"53","BROL","Capsicum annuum",3,0,"Solanaceae"
"54","BROL","Capsicum annuum",4,0,"Solanaceae"
"55","BROL","Capsicum annuum",5,5,"Solanaceae"
"56","BROL","Capsicum annuum",6,0,"Solanaceae"
"57","BROL","Capsicum annuum",7,0,"Solanaceae"
"58","BROL","Capsicum annuum",8,0,"Solanaceae"
"59","BROL","Capsicum annuum",9,0,"Solanaceae"
"60","BROL","Capsicum annuum",10,0,"Solanaceae"
"61","BROL","Petunia integrifolia",1,0,"Solanaceae"
"62","BROL","Petunia integrifolia",2,0,"Solanaceae"
"63","BROL","Petunia integrifolia",3,0,"Solanaceae"
"64","BROL","Petunia integrifolia",4,0,"Solanaceae"
"65","BROL","Petunia integrifolia",5,0,"Solanaceae"
"66","BROL","Petunia integrifolia",6,0,"Solanaceae"
"67","BROL","Petunia integrifolia",7,0,"Solanaceae"
"68","BROL","Petunia integrifolia",8,0,"Solanaceae"
"69","BROL","Petunia integrifolia",9,0,"Solanaceae"
"70","BROL","Petunia integrifolia",10,0,"Solanaceae"
"71","BROL","Solanum lycopersicum",1,0,"Solanaceae"
"72","BROL","Solanum lycopersicum",2,0,"Solanaceae"
"73","BROL","Solanum lycopersicum",3,0,"Solanaceae"
"74","BROL","Solanum lycopersicum",4,0,"Solanaceae"
"75","BROL","Solanum lycopersicum",5,0,"Solanaceae"
"76","BROL","Solanum lycopersicum",6,0,"Solanaceae"
"77","BROL","Solanum lycopersicum",7,0,"Solanaceae"
"78","BROL","Solanum lycopersicum",8,0,"Solanaceae"
"79","BROL","Solanum lycopersicum",9,0,"Solanaceae"
"80","BROL","Solanum lycopersicum",10,0,"Solanaceae"
"81","BROL","Solanum melongena",1,0,"Solanaceae"
"82","BROL","Solanum melongena",2,0,"Solanaceae"
"83","BROL","Solanum melongena",3,0,"Solanaceae"
"84","BROL","Solanum melongena",4,0,"Solanaceae"
"85","BROL","Solanum melongena",5,0,"Solanaceae"
"86","BROL","Solanum melongena",6,0,"Solanaceae"
"87","BROL","Solanum melongena",7,0,"Solanaceae"
"88","BROL","Solanum melongena",8,0,"Solanaceae"
"89","BROL","Solanum melongena",9,0,"Solanaceae"
"90","BROL","Solanum melongena",10,0,"Solanaceae"
"91","BROL","Cross",1,6,"other"
"92","BROL","Cross",2,14,"other"
"93","BROL","Cross",3,19,"other"
"94","BROL","Cross",4,8,"other"
"95","BROL","Cross",5,12,"other"
"96","BROL","Cross",6,0,"other"
"97","BROL","Cross",7,13,"other"
"98","BROL","Cross",8,11,"other"
"99","BROL","Cross",9,10,"other"
"100","BROL","Cross",10,0,"other"
"101","BROL","Self",1,0,"other"
"102","BROL","Self",2,0,"other"
"103","BROL","Self",3,0,"other"
"104","BROL","Self",4,0,"other"
"105","BROL","Self",5,0,"other"
"106","BROL","Self",6,0,"other"
"107","BROL","Self",7,0,"other"
"108","BROL","Self",8,0,"other"
"109","BROL","Self",9,0,"other"
"110","BROL","Self",10,0,"other"
"111","BROL","Control",1,0,"other"
"112","BROL","Control",2,0,"other"
"113","BROL","Control",3,0,"other"
"114","BROL","Control",4,0,"other"
"115","BROL","Control",5,0,"other"
"116","BROL","Control",6,0,"other"
"117","BROL","Control",7,0,"other"
"118","BROL","Control",8,0,"other"
"119","BROL","Control",9,0,"other"
"120","BROL","Control",10,0,"other"
"121","BROL","FC",1,0,"other"
"122","BROL","FC",2,0,"other"
"123","BROL","FC",3,0,"other"
"124","BROL","FC",4,0,"other"
"125","BROL","FC",5,0,"other"
"126","BROL","FC",6,0,"other"
"127","BROL","FC",7,0,"other"
"128","BROL","FC",8,0,"other"
"129","BROL","FC",9,0,"other"
"130","BROL","FC",10,0,"other"
