"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","IPAQ","BROL 100%",1,0,"Brassicaceae"
"2","IPAQ","BROL 100%",2,0,"Brassicaceae"
"3","IPAQ","BROL 100%",3,0,"Brassicaceae"
"4","IPAQ","BROL 100%",4,0,"Brassicaceae"
"5","IPAQ","BROL 100%",5,0,"Brassicaceae"
"6","IPAQ","BROL 100%",6,0,"Brassicaceae"
"7","IPAQ","BROL 100%",7,0,"Brassicaceae"
"8","IPAQ","BROL 100%",8,0,"Brassicaceae"
"9","IPAQ","BROL 100%",9,0,"Brassicaceae"
"10","IPAQ","BROL 100%",10,0,"Brassicaceae"
"11","IPAQ","BRRA 100%",1,0,"Brassicaceae"
"12","IPAQ","BRRA 100%",2,0,"Brassicaceae"
"13","IPAQ","BRRA 100%",3,0,"Brassicaceae"
"14","IPAQ","BRRA 100%",4,0,"Brassicaceae"
"15","IPAQ","BRRA 100%",5,0,"Brassicaceae"
"16","IPAQ","BRRA 100%",6,0,"Brassicaceae"
"17","IPAQ","BRRA 100%",7,0,"Brassicaceae"
"18","IPAQ","BRRA 100%",8,0,"Brassicaceae"
"19","IPAQ","BRRA 100%",9,0,"Brassicaceae"
"20","IPAQ","BRRA 100%",10,0,"Brassicaceae"
"21","IPAQ","CAAN 100%",1,0,"Solanaceae"
"22","IPAQ","CAAN 100%",2,0,"Solanaceae"
"23","IPAQ","CAAN 100%",3,0,"Solanaceae"
"24","IPAQ","CAAN 100%",4,0,"Solanaceae"
"25","IPAQ","CAAN 100%",5,0,"Solanaceae"
"26","IPAQ","CAAN 100%",6,0,"Solanaceae"
"27","IPAQ","CAAN 100%",7,0,"Solanaceae"
"28","IPAQ","CAAN 100%",8,0,"Solanaceae"
"29","IPAQ","CAAN 100%",9,0,"Solanaceae"
"30","IPAQ","CAAN 100%",10,0,"Solanaceae"
"51","IPAQ","ERSA 100%",1,0,"Brassicaceae"
"52","IPAQ","ERSA 100%",2,0,"Brassicaceae"
"53","IPAQ","ERSA 100%",3,0,"Brassicaceae"
"54","IPAQ","ERSA 100%",4,0,"Brassicaceae"
"55","IPAQ","ERSA 100%",5,0,"Brassicaceae"
"56","IPAQ","ERSA 100%",6,0,"Brassicaceae"
"57","IPAQ","ERSA 100%",7,0,"Brassicaceae"
"58","IPAQ","ERSA 100%",8,0,"Brassicaceae"
"59","IPAQ","ERSA 100%",9,0,"Brassicaceae"
"60","IPAQ","ERSA 100%",10,0,"Brassicaceae"
"71","IPAQ","IPAQ 100%",1,0,"Convolvulaceae"
"72","IPAQ","IPAQ 100%",2,0,"Convolvulaceae"
"73","IPAQ","IPAQ 100%",3,0,"Convolvulaceae"
"74","IPAQ","IPAQ 100%",4,0,"Convolvulaceae"
"75","IPAQ","IPAQ 100%",5,0,"Convolvulaceae"
"76","IPAQ","IPAQ 100%",6,0,"Convolvulaceae"
"77","IPAQ","IPAQ 100%",7,0,"Convolvulaceae"
"78","IPAQ","IPAQ 100%",8,0,"Convolvulaceae"
"79","IPAQ","IPAQ 100%",9,0,"Convolvulaceae"
"80","IPAQ","IPAQ 100%",10,0,"Convolvulaceae"
"81","IPAQ","IPPU 100%",1,0,"Convolvulaceae"
"82","IPAQ","IPPU 100%",2,0,"Convolvulaceae"
"83","IPAQ","IPPU 100%",3,0,"Convolvulaceae"
"84","IPAQ","IPPU 100%",4,0,"Convolvulaceae"
"85","IPAQ","IPPU 100%",5,0,"Convolvulaceae"
"86","IPAQ","IPPU 100%",6,0,"Convolvulaceae"
"87","IPAQ","IPPU 100%",7,0,"Convolvulaceae"
"88","IPAQ","IPPU 100%",8,0,"Convolvulaceae"
"89","IPAQ","IPPU 100%",9,0,"Convolvulaceae"
"90","IPAQ","IPPU 100%",10,0,"Convolvulaceae"
"91","IPAQ","PEIN 100%",1,0,"Solanaceae"
"92","IPAQ","PEIN 100%",2,0,"Solanaceae"
"93","IPAQ","PEIN 100%",3,0,"Solanaceae"
"94","IPAQ","PEIN 100%",4,0,"Solanaceae"
"95","IPAQ","PEIN 100%",5,0,"Solanaceae"
"96","IPAQ","PEIN 100%",6,0,"Solanaceae"
"97","IPAQ","PEIN 100%",7,0,"Solanaceae"
"98","IPAQ","PEIN 100%",8,0,"Solanaceae"
"99","IPAQ","PEIN 100%",9,0,"Solanaceae"
"100","IPAQ","PEIN 100%",10,0,"Solanaceae"
"111","IPAQ","SIAL 100%",1,0,"Brassicaceae"
"112","IPAQ","SIAL 100%",2,0,"Brassicaceae"
