Species;Treatment;Treatment number;Seed production
BRRA;Cross;1;18
BRRA;Cross;2;18
BRRA;Cross;3;19
BRRA;Cross;4;16
BRRA;Cross;5;17
BRRA;Cross;6;6
BRRA;Cross;7;3
BRRA;Cross;8;5
BRRA;Cross;9;4
BRRA;Cross;10;5
BRRA;Cross;11;20
BRRA;Cross;12;16
BRRA;Cross;13;5
BRRA;Self;1;0
BRRA;Self;2;0
BRRA;Self;3;0
BRRA;Self;4;0
BRRA;Self;5;0
BRRA;Self;6;0
BRRA;Self;7;0
BRRA;Self;8;0
BRRA;Self;9;0
BRRA;Self;10;0
BRRA;Control;1;0
BRRA;Control;2;0
BRRA;Control;3;0
BRRA;Control;4;0
BRRA;Control;5;0
BRRA;Control;6;0
BRRA;Control;7;0
BRRA;Control;8;0
BRRA;Control;9;0
BRRA;Control;10;0
BRRA;Flower Control;1;0
BRRA;Flower Control;2;0
BRRA;Flower Control;3;0
BRRA;Flower Control;4;0
BRRA;Flower Control;5;0
BRRA;Flower Control;6;0
BRRA;Flower Control;7;0
BRRA;Flower Control;8;0
BRRA;Flower Control;9;0
BRRA;Flower Control;10;0
BRRA;PEIN 50%;1;0
BRRA;PEIN 50%;2;0
BRRA;PEIN 50%;3;0
BRRA;PEIN 50%;4;0
BRRA;PEIN 50%;5;0
BRRA;PEIN 50%;6;0
BRRA;PEIN 50%;7;0
BRRA;PEIN 50%;8;0
BRRA;PEIN 50%;9;0
BRRA;PEIN 50%;10;0
BRRA;PEIN 100%;1;0
BRRA;PEIN 100%;2;0
BRRA;PEIN 100%;3;0
BRRA;PEIN 100%;4;0
BRRA;PEIN 100%;5;0
BRRA;PEIN 100%;6;0
BRRA;PEIN 100%;7;0
BRRA;PEIN 100%;8;0
BRRA;PEIN 100%;9;0
BRRA;PEIN 100%;10;0
BRRA;SOME 50%;1;0
BRRA;SOME 50%;2;0
BRRA;SOME 50%;3;0
BRRA;SOME 50%;4;0
BRRA;SOME 50%;5;0
BRRA;SOME 50%;6;0
BRRA;SOME 50%;7;0
BRRA;SOME 50%;8;0
BRRA;SOME 50%;9;0
BRRA;SOME 50%;10;0
BRRA;SOME 100%;1;0
BRRA;SOME 100%;2;0
BRRA;SOME 100%;3;0
BRRA;SOME 100%;4;0
BRRA;SOME 100%;5;0
BRRA;SOME 100%;6;0
BRRA;SOME 100%;7;0
BRRA;SOME 100%;8;0
BRRA;SOME 100%;9;0
BRRA;SOME 100%;10;0
BRRA;BROL 50%;1;11
BRRA;BROL 50%;2;13
BRRA;BROL 50%;3;10
BRRA;BROL 50%;4;21
BRRA;BROL 50%;5;0
BRRA;BROL 50%;6;3
BRRA;BROL 50%;7;7
BRRA;BROL 50%;8;12
BRRA;BROL 50%;9;4
BRRA;BROL 50%;10;0
BRRA;BROL 100%;1;2
BRRA;BROL 100%;2;13
BRRA;BROL 100%;3;0
BRRA;BROL 100%;4;0
BRRA;BROL 100%;5;0
BRRA;BROL 100%;6;0
BRRA;BROL 100%;7;0
BRRA;BROL 100%;8;0
BRRA;BROL 100%;9;0
BRRA;BROL 100%;10;0
BRRA;IPPU 50%;1;0
BRRA;IPPU 50%;2;0
BRRA;IPPU 50%;3;0
BRRA;IPPU 50%;4;0
BRRA;IPPU 50%;5;0
BRRA;IPPU 50%;6;0
BRRA;IPPU 50%;7;0
BRRA;IPPU 50%;8;2
BRRA;IPPU 50%;9;0
BRRA;IPPU 50%;10;0
BRRA;IPPU 100%;1;0
BRRA;IPPU 100%;2;0
BRRA;IPPU 100%;3;0
BRRA;IPPU 100%;4;0
BRRA;IPPU 100%;5;0
BRRA;IPPU 100%;6;0
BRRA;IPPU 100%;7;0
BRRA;IPPU 100%;8;0
BRRA;IPPU 100%;9;0
BRRA;IPPU 100%;10;0
BRRA;SIAL 50%;1;0
BRRA;SIAL 50%;2;0
BRRA;SIAL 50%;3;0
BRRA;SIAL 50%;4;0
BRRA;SIAL 50%;5;0
BRRA;SIAL 50%;6;0
BRRA;SIAL 50%;7;0
BRRA;SIAL 50%;8;0
BRRA;SIAL 50%;9;0
BRRA;SIAL 50%;10;0
BRRA;SIAL 100%;1;0
BRRA;SIAL 100%;2;0
