"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","BROL","Brassica oleracea",1,NA,"Brassicaceae"
"2","BROL","Brassica oleracea",2,NA,"Brassicaceae"
"3","BROL","Brassica oleracea",3,NA,"Brassicaceae"
"4","BROL","Brassica oleracea",4,NA,"Brassicaceae"
"5","BROL","Brassica oleracea",5,NA,"Brassicaceae"
"6","BROL","Brassica oleracea",6,NA,"Brassicaceae"
"7","BROL","Brassica oleracea",7,NA,"Brassicaceae"
"8","BROL","Brassica oleracea",8,NA,"Brassicaceae"
"9","BROL","Brassica oleracea",9,NA,"Brassicaceae"
"10","BROL","Brassica oleracea",10,NA,"Brassicaceae"
"11","BROL","Brassica rapa",1,0,"Brassicaceae"
"12","BROL","Brassica rapa",2,0,"Brassicaceae"
"13","BROL","Brassica rapa",3,0,"Brassicaceae"
"14","BROL","Brassica rapa",4,0,"Brassicaceae"
"15","BROL","Brassica rapa",5,0,"Brassicaceae"
"16","BROL","Brassica rapa",6,13,"Brassicaceae"
"17","BROL","Brassica rapa",7,1,"Brassicaceae"
"18","BROL","Brassica rapa",8,18,"Brassicaceae"
"19","BROL","Brassica rapa",9,0,"Brassicaceae"
"20","BROL","Brassica rapa",10,0,"Brassicaceae"
"21","BROL","Eruca vesicaria",1,0,"Brassicaceae"
"22","BROL","Eruca vesicaria",2,0,"Brassicaceae"
"23","BROL","Eruca vesicaria",3,0,"Brassicaceae"
"24","BROL","Eruca vesicaria",4,1,"Brassicaceae"
"25","BROL","Eruca vesicaria",5,0,"Brassicaceae"
"26","BROL","Eruca vesicaria",6,0,"Brassicaceae"
"27","BROL","Eruca vesicaria",7,0,"Brassicaceae"
"28","BROL","Eruca vesicaria",8,0,"Brassicaceae"
"29","BROL","Eruca vesicaria",9,0,"Brassicaceae"
"30","BROL","Eruca vesicaria",10,0,"Brassicaceae"
"31","BROL","Sinapis alba",1,0,"Brassicaceae"
"32","BROL","Sinapis alba",2,0,"Brassicaceae"
"33","BROL","Sinapis alba",3,1,"Brassicaceae"
"34","BROL","Sinapis alba",4,0,"Brassicaceae"
"35","BROL","Sinapis alba",5,2,"Brassicaceae"
"36","BROL","Sinapis alba",6,2,"Brassicaceae"
"37","BROL","Sinapis alba",7,1,"Brassicaceae"
"38","BROL","Sinapis alba",8,1,"Brassicaceae"
"39","BROL","Sinapis alba",9,0,"Brassicaceae"
"40","BROL","Sinapis alba",10,0,"Brassicaceae"
"41","BROL","Ipomoea aquatica",1,0,"Convolvulaceae"
"42","BROL","Ipomoea aquatica",2,0,"Convolvulaceae"
"43","BROL","Ipomoea aquatica",3,0,"Convolvulaceae"
"44","BROL","Ipomoea aquatica",4,0,"Convolvulaceae"
"45","BROL","Ipomoea aquatica",5,0,"Convolvulaceae"
"46","BROL","Ipomoea aquatica",6,0,"Convolvulaceae"
"47","BROL","Ipomoea aquatica",7,0,"Convolvulaceae"
"48","BROL","Ipomoea aquatica",8,0,"Convolvulaceae"
"49","BROL","Ipomoea aquatica",9,0,"Convolvulaceae"
"50","BROL","Ipomoea aquatica",10,0,"Convolvulaceae"
"51","BROL","Ipomoea aquatica",1,0,"Convolvulaceae"
"52","BROL","Ipomoea aquatica",2,0,"Convolvulaceae"
"53","BROL","Ipomoea aquatica",3,0,"Convolvulaceae"
"54","BROL","Ipomoea aquatica",4,0,"Convolvulaceae"
"55","BROL","Ipomoea aquatica",5,4,"Convolvulaceae"
"56","BROL","Ipomoea aquatica",6,0,"Convolvulaceae"
"57","BROL","Ipomoea aquatica",7,0,"Convolvulaceae"
"58","BROL","Ipomoea aquatica",8,0,"Convolvulaceae"
"59","BROL","Ipomoea aquatica",9,0,"Convolvulaceae"
"60","BROL","Ipomoea aquatica",10,0,"Convolvulaceae"
"61","BROL","Ipomoea purpurea",1,0,"Convolvulaceae"
"62","BROL","Ipomoea purpurea",2,0,"Convolvulaceae"
"63","BROL","Ipomoea purpurea",3,0,"Convolvulaceae"
"64","BROL","Ipomoea purpurea",4,0,"Convolvulaceae"
"65","BROL","Ipomoea purpurea",5,0,"Convolvulaceae"
"66","BROL","Ipomoea purpurea",6,0,"Convolvulaceae"
"67","BROL","Ipomoea purpurea",7,0,"Convolvulaceae"
"68","BROL","Ipomoea purpurea",8,0,"Convolvulaceae"
"69","BROL","Ipomoea purpurea",9,0,"Convolvulaceae"
"70","BROL","Ipomoea purpurea",10,0,"Convolvulaceae"
"71","BROL","Capsicum annuum",1,7,"Solanaceae"
"72","BROL","Capsicum annuum",2,12,"Solanaceae"
"73","BROL","Capsicum annuum",3,8,"Solanaceae"
"74","BROL","Capsicum annuum",4,6,"Solanaceae"
"75","BROL","Capsicum annuum",5,1,"Solanaceae"
"76","BROL","Capsicum annuum",6,0,"Solanaceae"
"77","BROL","Capsicum annuum",7,0,"Solanaceae"
"78","BROL","Capsicum annuum",8,0,"Solanaceae"
"79","BROL","Capsicum annuum",9,0,"Solanaceae"
"80","BROL","Capsicum annuum",10,5,"Solanaceae"
"81","BROL","Petunia integrifolia",1,5,"Solanaceae"
"82","BROL","Petunia integrifolia",2,5,"Solanaceae"
"83","BROL","Petunia integrifolia",3,0,"Solanaceae"
"84","BROL","Petunia integrifolia",4,0,"Solanaceae"
"85","BROL","Petunia integrifolia",5,0,"Solanaceae"
"86","BROL","Petunia integrifolia",6,0,"Solanaceae"
"87","BROL","Petunia integrifolia",7,0,"Solanaceae"
