"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","CAAN","BROL 100%",1,0,"Brassicaceae"
"2","CAAN","BROL 100%",2,0,"Brassicaceae"
"3","CAAN","BROL 100%",3,0,"Brassicaceae"
"4","CAAN","BROL 100%",4,0,"Brassicaceae"
"5","CAAN","BROL 100%",5,0,"Brassicaceae"
"6","CAAN","BROL 100%",6,0,"Brassicaceae"
"7","CAAN","BROL 100%",7,0,"Brassicaceae"
"8","CAAN","BROL 100%",8,0,"Brassicaceae"
"9","CAAN","BROL 100%",9,0,"Brassicaceae"
"10","CAAN","BROL 100%",10,0,"Brassicaceae"
"11","CAAN","BRRA 100%",1,0,"Brassicaceae"
"12","CAAN","BRRA 100%",2,0,"Brassicaceae"
"13","CAAN","BRRA 100%",3,0,"Brassicaceae"
"14","CAAN","BRRA 100%",4,0,"Brassicaceae"
"15","CAAN","BRRA 100%",5,0,"Brassicaceae"
"16","CAAN","BRRA 100%",6,0,"Brassicaceae"
"17","CAAN","BRRA 100%",7,0,"Brassicaceae"
"18","CAAN","BRRA 100%",8,0,"Brassicaceae"
"19","CAAN","BRRA 100%",9,0,"Brassicaceae"
"20","CAAN","BRRA 100%",10,0,"Brassicaceae"
"21","CAAN","ERSA 100%",1,0,"Brassicaceae"
"22","CAAN","ERSA 100%",2,0,"Brassicaceae"
"23","CAAN","ERSA 100%",3,0,"Brassicaceae"
"24","CAAN","ERSA 100%",4,0,"Brassicaceae"
"25","CAAN","ERSA 100%",5,0,"Brassicaceae"
"26","CAAN","ERSA 100%",6,0,"Brassicaceae"
"27","CAAN","ERSA 100%",7,0,"Brassicaceae"
"28","CAAN","ERSA 100%",8,3,"Brassicaceae"
"29","CAAN","ERSA 100%",9,0,"Brassicaceae"
"30","CAAN","ERSA 100%",10,0,"Brassicaceae"
"31","CAAN","SIAL 100%",1,127,"Brassicaceae"
"32","CAAN","SIAL 100%",2,0,"Brassicaceae"
"33","CAAN","SIAL 100%",3,0,"Brassicaceae"
