"","X","focal","non_focal","ratio","variable","spp"
"1",6,"Capsicum","Morning glory",95,"focal_pollen","Capsicum Morning glory"
"2",7,"Rocket","Morning glory",99,"focal_pollen","Rocket Morning glory"
"3",8,"Wild cabbage","Morning glory",63,"focal_pollen","Wild cabbage Morning glory"
"4",10,"Pak choi","Morning glory",99,"focal_pollen","Pak choi Morning glory"
"5",13,"Eggplant","Water morning glory",74,"focal_pollen","Eggplant Water morning glory"
"6",14,"Petunia","Water morning glory",49,"focal_pollen","Petunia Water morning glory"
"7",15,"Tomato","Water morning glory",84,"focal_pollen","Tomato Water morning glory"
"8",19,"White mustard","Water morning glory",99,"focal_pollen","White mustard Water morning glory"
"9",21,"Morning glory","Eggplant",33,"focal_pollen","Morning glory Eggplant"
"10",29,"White mustard","Eggplant",73,"focal_pollen","White mustard Eggplant"
"11",37,"Rocket","Petunia",67,"focal_pollen","Rocket Petunia"
"12",50,"Pak choi","Tomato",83,"focal_pollen","Pak choi Tomato"
"13",52,"Water morning glory","Capsicum",31,"focal_pollen","Water morning glory Capsicum"
"14",58,"Wild cabbage","Capsicum",57,"focal_pollen","Wild cabbage Capsicum"
"15",61,"Morning glory","Rocket",19,"focal_pollen","Morning glory Rocket"
"16",63,"Eggplant","Rocket",46,"focal_pollen","Eggplant Rocket"
"17",64,"Petunia","Rocket",49,"focal_pollen","Petunia Rocket"
"18",82,"Water morning glory","White mustard",29,"focal_pollen","Water morning glory White mustard"
"19",86,"Capsicum","White mustard",38,"focal_pollen","Capsicum White mustard"
"20",95,"Tomato","Pak choi",49,"focal_pollen","Tomato Pak choi"
"21",62,"Capsicum","Morning glory",5,"non_focal_pollen","Capsicum Morning glory"
"22",71,"Rocket","Morning glory",1,"non_focal_pollen","Rocket Morning glory"
"23",81,"Wild cabbage","Morning glory",37,"non_focal_pollen","Wild cabbage Morning glory"
"24",101,"Pak choi","Morning glory",1,"non_focal_pollen","Pak choi Morning glory"
"25",131,"Eggplant","Water morning glory",26,"non_focal_pollen","Eggplant Water morning glory"
"26",141,"Petunia","Water morning glory",51,"non_focal_pollen","Petunia Water morning glory"
"27",151,"Tomato","Water morning glory",16,"non_focal_pollen","Tomato Water morning glory"
"28",191,"White mustard","Water morning glory",1,"non_focal_pollen","White mustard Water morning glory"
"29",211,"Morning glory","Eggplant",67,"non_focal_pollen","Morning glory Eggplant"
"30",291,"White mustard","Eggplant",27,"non_focal_pollen","White mustard Eggplant"
"31",371,"Rocket","Petunia",33,"non_focal_pollen","Rocket Petunia"
"32",501,"Pak choi","Tomato",17,"non_focal_pollen","Pak choi Tomato"
"33",521,"Water morning glory","Capsicum",69,"non_focal_pollen","Water morning glory Capsicum"
"34",581,"Wild cabbage","Capsicum",43,"non_focal_pollen","Wild cabbage Capsicum"
"35",611,"Morning glory","Rocket",81,"non_focal_pollen","Morning glory Rocket"
"36",631,"Eggplant","Rocket",54,"non_focal_pollen","Eggplant Rocket"
"37",641,"Petunia","Rocket",51,"non_focal_pollen","Petunia Rocket"
"38",821,"Water morning glory","White mustard",71,"non_focal_pollen","Water morning glory White mustard"
"39",861,"Capsicum","White mustard",62,"non_focal_pollen","Capsicum White mustard"
"40",951,"Tomato","Pak choi",51,"non_focal_pollen","Tomato Pak choi"
