"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SOLY","Wild cabbage",1,64,"Brassicaceae"
"2","SOLY","Wild cabbage",2,67,"Brassicaceae"
"3","SOLY","Wild cabbage",3,75,"Brassicaceae"
"4","SOLY","Wild cabbage",4,28,"Brassicaceae"
"5","SOLY","Wild cabbage",5,73,"Brassicaceae"
"6","SOLY","Wild cabbage",6,73,"Brassicaceae"
"7","SOLY","Wild cabbage",7,72,"Brassicaceae"
"8","SOLY","Wild cabbage",8,14,"Brassicaceae"
"9","SOLY","Wild cabbage",9,44,"Brassicaceae"
"10","SOLY","Wild cabbage",10,41,"Brassicaceae"
"11","SOLY","Pak choi",1,39,"Brassicaceae"
"12","SOLY","Pak choi",2,64,"Brassicaceae"
"13","SOLY","Pak choi",3,13,"Brassicaceae"
"14","SOLY","Pak choi",4,5,"Brassicaceae"
"15","SOLY","Pak choi",5,4,"Brassicaceae"
"16","SOLY","Pak choi",6,13,"Brassicaceae"
"17","SOLY","Pak choi",7,0,"Brassicaceae"
"18","SOLY","Pak choi",8,0,"Brassicaceae"
"19","SOLY","Pak choi",9,0,"Brassicaceae"
"20","SOLY","Pak choi",10,0,"Brassicaceae"
"21","SOLY","Rocket",1,0,"Brassicaceae"
"22","SOLY","Rocket",2,0,"Brassicaceae"
"23","SOLY","Rocket",3,7,"Brassicaceae"
"24","SOLY","Rocket",4,34,"Brassicaceae"
"25","SOLY","Rocket",5,16,"Brassicaceae"
"26","SOLY","Rocket",6,22,"Brassicaceae"
"27","SOLY","Rocket",7,12,"Brassicaceae"
"28","SOLY","Rocket",8,0,"Brassicaceae"
"29","SOLY","Rocket",9,0,"Brassicaceae"
"30","SOLY","Rocket",10,0,"Brassicaceae"
"31","SOLY","White mustard",1,0,"Brassicaceae"
"32","SOLY","White mustard",2,1,"Brassicaceae"
"33","SOLY","White mustard",3,3,"Brassicaceae"
"34","SOLY","White mustard",4,3,"Brassicaceae"
"35","SOLY","White mustard",5,0,"Brassicaceae"
"36","SOLY","White mustard",6,0,"Brassicaceae"
"37","SOLY","White mustard",7,0,"Brassicaceae"
"38","SOLY","White mustard",8,0,"Brassicaceae"
"39","SOLY","White mustard",9,24,"Brassicaceae"
"40","SOLY","White mustard",10,0,"Brassicaceae"
"41","SOLY","Water morning glory",1,0,"Convolvulaceae"
"42","SOLY","Water morning glory",2,0,"Convolvulaceae"
"43","SOLY","Water morning glory",3,13,"Convolvulaceae"
"44","SOLY","Water morning glory",4,0,"Convolvulaceae"
"45","SOLY","Water morning glory",5,0,"Convolvulaceae"
"46","SOLY","Water morning glory",6,0,"Convolvulaceae"
"47","SOLY","Water morning glory",7,0,"Convolvulaceae"
"48","SOLY","Water morning glory",8,0,"Convolvulaceae"
"49","SOLY","Water morning glory",9,0,"Convolvulaceae"
"50","SOLY","Water morning glory",10,0,"Convolvulaceae"
"51","SOLY","Morning glory",1,0,"Convolvulaceae"
"52","SOLY","Morning glory",2,0,"Convolvulaceae"
"53","SOLY","Morning glory",3,0,"Convolvulaceae"
"54","SOLY","Morning glory",4,0,"Convolvulaceae"
"55","SOLY","Morning glory",5,5,"Convolvulaceae"
"56","SOLY","Morning glory",6,2,"Convolvulaceae"
"57","SOLY","Morning glory",7,0,"Convolvulaceae"
"58","SOLY","Morning glory",8,4,"Convolvulaceae"
"59","SOLY","Morning glory",9,3,"Convolvulaceae"
"60","SOLY","Morning glory",10,0,"Convolvulaceae"
"61","SOLY","Capsicum",1,0,"Solanaceae"
"62","SOLY","Capsicum",2,0,"Solanaceae"
"63","SOLY","Capsicum",3,0,"Solanaceae"
"64","SOLY","Capsicum",4,0,"Solanaceae"
"65","SOLY","Capsicum",5,0,"Solanaceae"
"66","SOLY","Capsicum",6,0,"Solanaceae"
"67","SOLY","Capsicum",7,0,"Solanaceae"
"68","SOLY","Capsicum",8,0,"Solanaceae"
"69","SOLY","Capsicum",9,0,"Solanaceae"
"70","SOLY","Capsicum",10,0,"Solanaceae"
"71","SOLY","Petunia",1,61,"Solanaceae"
"72","SOLY","Petunia",2,49,"Solanaceae"
"73","SOLY","Petunia",3,69,"Solanaceae"
"74","SOLY","Petunia",4,5,"Solanaceae"
"75","SOLY","Petunia",5,0,"Solanaceae"
"76","SOLY","Petunia",6,31,"Solanaceae"
"77","SOLY","Petunia",7,20,"Solanaceae"
"78","SOLY","Petunia",8,17,"Solanaceae"
"79","SOLY","Petunia",9,8,"Solanaceae"
"80","SOLY","Petunia",10,0,"Solanaceae"
"81","SOLY","Tomato",1,NA,"Solanaceae"
