"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SOME","Brassica oleracea",1,363,"Brassicaceae"
"2","SOME","Brassica oleracea",1,250,"Brassicaceae"
"3","SOME","Brassica oleracea",1,459,"Brassicaceae"
"4","SOME","Brassica oleracea",1,404,"Brassicaceae"
"5","SOME","Brassica oleracea",1,132,"Brassicaceae"
"6","SOME","Brassica oleracea",1,55,"Brassicaceae"
"7","SOME","Brassica oleracea",1,451,"Brassicaceae"
"8","SOME","Brassica oleracea",1,319,"Brassicaceae"
"9","SOME","Brassica oleracea",1,439,"Brassicaceae"
"10","SOME","Brassica oleracea",1,554,"Brassicaceae"
"11","SOME","Brassica rapa",0,0,"Brassicaceae"
"12","SOME","Brassica rapa",1,200,"Brassicaceae"
"13","SOME","Brassica rapa",1,169,"Brassicaceae"
"14","SOME","Brassica rapa",0,0,"Brassicaceae"
"15","SOME","Brassica rapa",0,0,"Brassicaceae"
"16","SOME","Brassica rapa",1,184,"Brassicaceae"
"17","SOME","Brassica rapa",0,0,"Brassicaceae"
"18","SOME","Brassica rapa",1,83,"Brassicaceae"
"19","SOME","Brassica rapa",0,0,"Brassicaceae"
"20","SOME","Brassica rapa",0,0,"Brassicaceae"
"21","SOME","Eruca vesicaria",1,583,"Brassicaceae"
"22","SOME","Eruca vesicaria",0,0,"Brassicaceae"
"23","SOME","Eruca vesicaria",0,0,"Brassicaceae"
"24","SOME","Eruca vesicaria",0,0,"Brassicaceae"
"25","SOME","Eruca vesicaria",0,0,"Brassicaceae"
"26","SOME","Eruca vesicaria",1,787,"Brassicaceae"
"27","SOME","Eruca vesicaria",1,385,"Brassicaceae"
"28","SOME","Eruca vesicaria",1,0,"Brassicaceae"
"29","SOME","Eruca vesicaria",1,520,"Brassicaceae"
"30","SOME","Eruca vesicaria",1,1068,"Brassicaceae"
"31","SOME","Sinapis alba",1,227,"Brassicaceae"
"32","SOME","Sinapis alba",1,43,"Brassicaceae"
"33","SOME","Sinapis alba",1,38,"Brassicaceae"
"34","SOME","Sinapis alba",1,28,"Brassicaceae"
"35","SOME","Sinapis alba",1,30,"Brassicaceae"
