"","X","focal","non_focal","ratio","variable","spp"
"2",7,"Rocket","Morning glory",1308,"focal_pollen","Rocket-Morning glory"
"3",8,"Wild cabbage","Morning glory",90,"focal_pollen","Wild cabbage-Morning glory"
"4",10,"Pak choi","Morning glory",193,"focal_pollen","Pak choi-Morning glory"
"8",19,"White mustard","Water morning glory",1617,"focal_pollen","White mustard-Water morning glory"
"10",29,"White mustard","Eggplant",3054,"focal_pollen","White mustard-Eggplant"
"11",37,"Rocket","Petunia",621,"focal_pollen","Rocket-Petunia"
"12",50,"Pak choi","Tomato",1114,"focal_pollen","Pak choi-Tomato"
"14",58,"Wild cabbage","Capsicum",281,"focal_pollen","Wild cabbage-Capsicum"
"22",71,"Rocket","Morning glory",8,"non_focal_pollen","Rocket-Morning glory"
"23",81,"Wild cabbage","Morning glory",20,"non_focal_pollen","Wild cabbage-Morning glory"
"24",101,"Pak choi","Morning glory",2,"non_focal_pollen","Pak choi-Morning glory"
"28",191,"White mustard","Water morning glory",19,"non_focal_pollen","White mustard-Water morning glory"
"30",291,"White mustard","Eggplant",1096,"non_focal_pollen","White mustard-Eggplant"
"31",371,"Rocket","Petunia",321,"non_focal_pollen","Rocket-Petunia"
"32",501,"Pak choi","Tomato",246,"non_focal_pollen","Pak choi-Tomato"
"34",581,"Wild cabbage","Capsicum",209,"non_focal_pollen","Wild cabbage-Capsicum"
